title,authors,summary,published,url,archivo
领导对员工--生成式人工智能建议的反应机制： 基于社会比较视角多层次研究.,,"The involvement of Generation artificial intelligence (GenAI) in organizational decision-making has become an irresistible trend. However, academic research on the adoption of GenAI advice remains insufficient. In the process of leadership decision-making, how do leaders compare and adopt employee advice, GenAI advice, and employee-GenAI team advice? What differences exist in leaders' perceptions? Grounded in social comparison theory, this study explores how leaders' differing perceptions shape their adoption of advice from employees, GenAI, and human-GenAI teams through five sub-studies: 1) How to define the GenAI advice-taking? 2) What are the differences in leaders' adoption of employee advice versus GenAI advice? 3) How do leaders differ in their adoption of employee-GenAI team advice? 4) How to compare the effect of employee-GenAI advice? 5) How do advice barriers in employee-GenAI comparisons affect advice quality, and to what extent can intervention strategies mitigate these effects? Ultimately, this study systematically constructs a multi-level model of leaders' adoption of employee-GenAI advice, providing a new perspective for interdisciplinary theoretical development and offering practical guidance for organizations to optimize human-AI collaborative decision-making and mitigate technological risks.",,https://doi.org/10.3724/SP.J.1042.2026.0626,/Users/valeria/proyecto_bibliometria/data/descargas_ebsco/pagina_001_EBSCO-Metadata-05_13_2026.csv
Perceptions of Generative Artificial Intelligence Among Biomedical Academics with Career Trajectories in Healthcare: A Mixed Methods Study.,,"Generative Artificial Intelligence (GenAI) has been a viable technology for decades, yet widespread adoption in healthcare and academic settings has remained limited to research. One possible explanation for this is limited understanding about the beliefs around GenAI use amongst faculty and students training in biomedical disciplines that frequently lead to non-physician healthcare careers, including physical therapy (PT), occupational therapy (OT), allied health (AH), and biomedical engineering (BME). Furthermore, no known studies exist assessing differences that may exist across those disciplines. Given the significant number of professionals in those disciplines and the outsized impact they have on the healthcare system, investigating their beliefs around GenAI use is vital before widespread adoption. Accordingly, we investigated the perceptions of GenAI among students and faculty in the aforementioned fields that frequently lead to careers in healthcare. We found that knowledge of GenAI significantly influences comfort with its use completing college coursework including whether respondents believed it contributed to the process of completing that coursework and whether use of GenAI enhances learning. Interestingly, however, there were no statistically significant differences in perceptions of GenAI across disciplines, roles, or institution sizes. Qualitative findings revealed concerns about plagiarism, decline of critical thinking skills, and ethical challenges, while also recognizing GenAI's potential to enhance learning efficiency and idea generation. Critically, the study results emphasize the need for proper training and guidelines to ensure GenAI is integrated responsibly into healthcare-related education.",,https://doi.org/10.3390/ai7030106,/Users/valeria/proyecto_bibliometria/data/descargas_ebsco/pagina_001_EBSCO-Metadata-05_13_2026.csv
Can GenAI complement supervisor support in shaping postgraduates' research experiences? A mixed-methods approach.,,"The rise of Generative Artificial Intelligence (GenAI) in postgraduate education has garnered increasing attention, yet it has also sparked debates regarding its capacity to complement human supervisors. Despite the ongoing discussion, the complex interplay of supervisor support and GenAI support on research experiences of postgraduate students remains under-explored. This study aimed to address the gap by employing an explanatory sequential mixed methods design, with the quantitative study conducted with a sample of 1,515 postgraduate students in China to examine the effects of supervisor support and GenAI support on their research experiences. The qualitative study involving interviews with 20 postgraduate students unraveled the nuanced mechanisms underlying the quantitative results. The findings revealed a complementary alliance between supervisor support and GenAI support in fostering postgraduate students' positive research experiences, and the synergistic integration of supervisor-GenAI maximized their complementary strengths, enhancing the depth and quality of support while preserving the irreplaceable value of human interactions rather than diminishing the role of human supervisors. This study contributed to envisioning an educational environment where GenAI and supervisors coexist harmoniously to enrich postgraduate students' research experiences.",,https://doi.org/10.1080/03075079.2025.2495710,/Users/valeria/proyecto_bibliometria/data/descargas_ebsco/pagina_001_EBSCO-Metadata-05_13_2026.csv
A Systematic Literature Review on the Pedagogical Implications and Impact of GenAI on Students' Critical Thinking.,,"Critical Thinking (CT) is recognized as a foundational competency for professional readiness, innovation, and ethical reasoning in higher education, enabling students to analyze information, evaluate evidence, and make reasoned decisions in complex environments. The rapid integration of Generative Artificial Intelligence (GenAI) tools, such as large language models, presents new opportunities and risks for CT development. This study conducts a systematic literature review to synthesize empirical evidence on the pedagogical implications and cognitive impact of GenAI on students' CT. Following PRISMA guidelines, and search terms around GenAI Tools, Critical Thinking And Higher Education, on five major education research databases—Web of Science; Scopus; EBSCOhost (Education Source, ERIC, and APA PsycInfo); and Compendex and Inspec (Elsevier)—63 empirical studies published between January 2023 and April 2025 were analyzed across higher education contexts, disciplines, and intervention designs. Results indicate that GenAI offers notable cognitive affordances, including scaffolding reflective reasoning, promoting self-regulation, and facilitating iterative dialogue and argument evaluation. Pedagogical strategies clustered into four primary integration typologies: AI-based feedback prompts, dialogue simulation and reflection, AI-supported peer review, and critical engagement with AI-generated content. Nearly half of the studies reported statistically significant CT improvements, particularly when GenAI use was guided by structured prompts, reflective activities, and performance-based assessment. However, multiple risks persist, including cognitive offloading, uncritical acceptance of AI outputs, and diminished intellectual autonomy, especially in unguided or surface-level usage. This review highlights the need for intentional pedagogical design, validated CT assessment tools, and longitudinal studies to ensure GenAI acts as a catalyst rather than a substitute for human reasoning. By identifying effective integration strategies and outlining potential pitfalls, this study provides evidence-informed guidance for educators and institutions aiming to responsibly leverage GenAI to strengthen students' CT skills.",,https://doi.org/10.3390/a19030179,/Users/valeria/proyecto_bibliometria/data/descargas_ebsco/pagina_001_EBSCO-Metadata-05_13_2026.csv
"Virtual Clients, Real Gains: Exploring the Impact of GenAI-Simulated Role-Play on Counseling Self-Efficacy of Novice Counselors.",,"This study examined the effects of simulated role-play with Generative Artificial Intelligence (GenAI) on counseling self-efficacy (CSE) among novice counselors in mainland China, using an explanatory sequential mixed-methods design. Sixty-seven participants were randomly assigned to an experimental group (<italic>n</italic> = 36) or a control group (<italic>n</italic> = 31). The experimental group engaged in GenAI-simulated role-play three times, while the control group waited. The Counseling Activity Self-Efficacy Scale (CASES) assessed pre- and post-intervention CSE. Quantitative data were analyzed using repeated measures two-way ANOVA (2 × 2: time × group). The time-group interaction was significant, F(1,65) = 24.699, <italic>p</italic> < .001, η<sup>2</sup> = 0.275, indicating a positive intervention effect on CSE. Thematic analysis of qualitative interviews with 10 participants explaining why virtual simulations enhanced novice counselors’ CSE by 8 factors classified into 3 categories, including GenAI’s role as an appropriate client, a supportive tutor, and an effective tool. The results support the potential of GenAI as an innovative assistance for counselor education.",,https://doi.org/10.1080/15401383.2026.2666304,/Users/valeria/proyecto_bibliometria/data/descargas_ebsco/pagina_001_EBSCO-Metadata-05_13_2026.csv
The Role of Generative Artificial Intelligence in Shaping University Students' Learning Behavior: A Mixed-Method Research Based on the COM-B Model.,,"While GenAI is transforming education, it remains unclear how it shapes students' behavior, especially concerning AI literacy. The purpose of this study is to examine which factors positively affect students' learning behavior and whether AI literacy moderates this effect, using the COM-B model. An online survey of 438 participants was analyzed using covariance-based structural equation modeling (CB-SEM) and fuzzy-set qualitative comparative analysis (fsQCA). The CB-SEM results indicate that independent learning ability, receptive ability, learning environment, AI support equipment, and both intrinsic and extrinsic motivations significantly shape student learning behavior. Notably, AI literacy moderates the relationship between GenAI and learning behavior. Furthermore, fsQCA reveals seven configurations of these factors that favorably impact learning behavior. Together, these findings provide theoretical and practical insights for universities, highlighting actionable ways universities can support students' adoption of GenAI.",,https://doi.org/10.3390/bs16040577,/Users/valeria/proyecto_bibliometria/data/descargas_ebsco/pagina_001_EBSCO-Metadata-05_13_2026.csv
Filter Bubbles in the Age of GenAI - A Literature Review.,,"The term ""filter bubble"" refers to the possibility that online content customization, resulting from the use of algorithms, could isolate users from wider or even differing perspectives. Recommender systems, which are implemented in all digital platforms and rely on algorithms to anticipate users' preferences and recommend relevant items, are particularly vulnerable to this phenomenon. The rapid development of generative artificial intelligence (GenAI) has brought in focus how recommender systems narrow what users see and strengthen the filter bubble effect. This literature review examines the recent work on the impact of GenAI on search, social media news feeds and customized recommendations. The most direct evidence suggests that GenAI can amplify selective exposure when users make use of large language model systems in ways that tend to confirm their views and expectations, as results and outputs are personalized to existing preferences. At the same time, GenAI can also be used to interrupt the exposure to more of the same information, by directing users to diverging material and alternative viewpoints. Ultimately, GenAI seems to be less of a cause for filter bubble emergence and more of an amplifier. It can intensify narrowing through personalization and distilled content, but it can also be deployed to diversify exposure if platforms choose to optimize for diversity rather than pure user engagement. The review concludes by identifying further research needed to establish causal effects across social media, search, and e-commerce",,,/Users/valeria/proyecto_bibliometria/data/descargas_ebsco/pagina_001_EBSCO-Metadata-05_13_2026.csv
Investigating the correlation between candidate teachers' acceptance of generative artificial intelligence and artificial intelligence literacy across various disciplines.,,"This study examines Generative Artificial Intelligence (GenAI) acceptance and Artificial Intelligence Literacy (AIL) levels among prospective teachers, using variables for comparative analysis and identifying influencing factors. The research uses an explanatory sequential mixed methods approach. Quantitative data were obtained from 723 prospective teachers and qualitative data from 48 prospective teachers. Data collection included an Information Form, GenAI Acceptance Scale, and AIL Scale for quantitative data, with interview forms for qualitative data. Parametric tests, independent samples t-test, ANOVA, and Pearson correlation analyzed quantitative data, while factors influencing GenAI acceptance and AIL were identified through themes using MAXQDA. Acceptance levels showed no significant differences by gender or daily internet use; however, differences emerged regarding department, grade level, AI tools used, and self-perceived proficiency. AIL showed significant differences in gender, department, grade, tool usage, and proficiency level, with higher scores among those trained in artificial intelligence. Qualitative data clarify the quantitative findings. Factors affecting GenAI acceptance include daily use, problem-solving, learning applications, mentor usage, assistance from others, proficiency, productivity, discipline-specific skills, and task efficiency. Factors influencing AIL include understanding AI importance, ethical considerations, AI support in daily life, explaining AI, understanding deep learning and machine learning relationships, big data knowledge, AI decision-making processes, knowledge of AI tools, interpretation of AI technologies, critical evaluation, data privacy importance, machine learning knowledge, and evaluation of AI applications in their discipline.",,https://doi.org/10.1371/journal.pone.0342853,/Users/valeria/proyecto_bibliometria/data/descargas_ebsco/pagina_001_EBSCO-Metadata-05_13_2026.csv
The Post-ChatGPT Research Landscape of Generative Artificial Intelligence in Higher Education (2023–2026): A Bibliometric Analysis.,,"The launch of ChatGPT at the end of 2022 significantly accelerated research on generative artificial intelligence (GenAI) in higher education. This study conducts a bibliometric analysis of publications indexed in Web of Science during the period 2023–1 February 2026, using VOSviewer to identify dominant thematic structures, influential actors, and emerging institutional networks. The results indicate a field that remains predominantly technologically oriented, organised around three major clusters: large language models and machine learning, computational modelling and optimisation, and the educational dimension, centred on academic integrity and AI literacy. Although pedagogical interest is increasing, conceptual centrality remains concentrated around technological infrastructure. The institutional analysis highlights the role of elite universities in the United States, Asia, and Europe. The period 2023–2024 can be interpreted as a transition from technological validation and ethical concerns towards institutional and curricular integration. Overall, the study provides a structural perspective on the early post-ChatGPT phase and outlines future directions concerning sustainability and AI-assisted educational transformation.",,https://doi.org/10.70594/brain/17.1/12,/Users/valeria/proyecto_bibliometria/data/descargas_ebsco/pagina_001_EBSCO-Metadata-05_13_2026.csv
The commodification of creativity: Integrating Generative Artificial Intelligence in higher education design curriculum.,,"The academic questions posed by the introduction of Generative AI (GenAI) into design higher education are many and reflect educators'uneasiness about its ethical use. Like any new radical technology breakthrough, GenAI straddles a pedagogical fence that divides opinion and focuses on a basic question: How can design educators harness Generative AI's power without compromising the fundamentals of design education? This study contributes to foundational research on how to incorporate GenAI into design education without compromising and commodifying the creative process. This research examines design students' experiences using GenAI in the context of studio practice of a second-year visual communication design course in a Bachelor of Design programme. Reflective comments are analysed and used to inform recommendations for a structured pedagogic approach for implementing GenAI as a building block for the design creative process into the curriculum.",,https://doi.org/10.1080/14703297.2024.2427039,/Users/valeria/proyecto_bibliometria/data/descargas_ebsco/pagina_001_EBSCO-Metadata-05_13_2026.csv
